SMILES,chembl_ahr_pchembl
[O-][n+]1c(-c2ccc(Br)cc2)nc2ccc(C(F)(F)F)cn21,6.12
[O-][n+]1c(-c2ccc(Br)cc2)nc2ccc(Cl)cn21,9.47
[O-][n+]1c(-c2ccc(Br)cc2)nc2ccc(F)cn21,5.96
[O-][n+]1c(-c2ccc(Br)cc2)nc2cccc(Br)n21,6.69
[O-][n+]1c(-c2ccc(Br)cc2)nc2ccccn21,5.6
[O-][n+]1c(-c2ccc(Cl)cc2)nc2ccccn21,5.48
[O-][n+]1c(-c2ccncc2)nc2ccccn21,5.33
[O-][n+]1onc2c1CCc1nnc(-c3ccccc3)cc1-2,5.55
[O-][n+]1onc2c3cc(-c4ccccc4)nnc3ccc21,5.83
c1ccc2[nH]c(Cc3c[nH]c4ccccc34)cc2c1,6.67
c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,5.58
c1ccc2c(c1)Nc1nc3ccccc3c3ccnc-2c13,11.0
c1ccc2c(c1)[nH]c1cc3c(cc12)[nH]c1ccccc13,9.72
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,6.9350000000000005
